space_makespan, sum_of_space_costs, time_makespan, sum_of_time_costs, space_time_makespan, sum_of_space_time_costs, compute_time 
None, None, None, None, None, None, None
28.43188551552278, 218.3704642053522, 8, 59, 17.44476847085643, 138.68523210267608, 289.456502199173
None, None, None, None, None, None, None
None, None, None, None, None, None, None
None, None, None, None, None, None, None
None, None, None, None, None, None, None
35.706462929472856, 228.78845895558754, 8, 61, 21.853231464736428, 144.89422947779374, 274.1253695487976
34.36371616578782, 295.2438591973628, 8, 72, 21.18185808289391, 183.6219295986814, 203.1868827342987
31.44210595109706, 274.66217528205516, 8, 68, 19.721052975548524, 171.33108764102758, 95.09265756607056
39.89930520179521, 274.23571896944776, 10, 70, 24.949652600897608, 172.11785948472388, 211.98722577095032
