space_makespan, sum_of_space_costs, time_makespan, sum_of_time_costs, space_time_makespan, sum_of_space_time_costs 
32.54657984848403, 55.788870037715846, 7, 21, None, None 
33.275385396345044, 65.2885518696113, 8, None, None, None 
29.231854973618727, 70.76258934033332, 6, 26, None, None 
32.9330783779154, 76.28583416333305, 8, 31, None, None 
21.231742218731853, 52.669621586417, 5, 21, None, None 
28.81650472446667, 49.485036300274004, 6, 20, None, None 
30.822459898777257, 70.2583812074704, 7, 27, None, None 
27.560102488202457, 62.176093229415116, 6, 23, None, None 
26.258353840016266, 44.094367665075595, 6, 18, None, None 
